id;created_at;user_name;user_screen_name;user_followers_count;text;retweet_count;favorite_count;retweeted_status_retweet_count;retweeted_status_id;retweeted_status_favorite_count;retweeted_status_text;entities_hashtags_0_text;entities_hashtags_1_text;entities_hashtags_2_text;entities_hashtags_3_text;lang;user_location;coordinates_coordinates_0;coordinates_coordinates_1;place_country;place_country_code;place_full_name;place_id;place_name;place_place_type;id_area
881727237560705024;2017-07-03 04:12:09;dbf396657708d9bd73dec0ac85c0261f;4c08e84f0409e69bce53567f2ddbac3a;64;Leveraging Predictive Analytics to Improve CRM Indusa https://t.co/LfxP7sFMuF https://t.co/K7dOQ7qSd0;0;0;;;;;;;;;en;bengaluru, india;;;;;;;;;
880968451870871552;2017-07-01 01:57:01;18897dcfce6a4e7ae63a3baeed443c48;59f9efd4f25725cbca21e2d91d90e649;165;Elasticsearch query to return all records #database #elasticsearch #bigdata #query-string #elasticsearch-dsl https://t.co/yu5oGCP551;0;0;;;;;database;elasticsearch;bigdata;query;en;bengaluru, india;;;;;;;;;
881739283471540224;2017-07-03 05:00:01;e4fb0e77626f4ffb41f8869833e9ccef;91a3fcbd8f054f6fc25b2bc5b610341f;90;RT @KirkDBorne: R Programming Cheat Sheet for #DataScientists: https://t.co/YGzluyH8xK #Rstats #BigData #DataScience #DataWrangling… ;0;0;79.0;8.812468688518881e+17;112.0;R Programming Cheat Sheet for #DataScientists: https://t.co/YGzluyH8xK #Rstats #BigData #DataScience #DataWrangling… https://t.co/DpGXNl8FKx;DataScientists;Rstats;BigData;DataScience;en;bengaluru, india;;;;;;;;;
881344218077290498;2017-07-02 02:50:10;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3067;RT @dj_shaily: @cupidtech: #Startup #fintech #IoT #SMM #Bigdata #VC Cant wait to show #DigitalMarketing how @cupidtech will trade realtime…;0;0;6.0;8.813420044829164e+17;4.0;@cupidtech: #Startup #fintech #IoT #SMM #Bigdata #VC Cant wait to show #DigitalMarketing how @cupidtech will trade realtime dat…;Startup;fintech;IoT;SMM;en;bengaluru, india;;;;;;;;;
881344257239506944;2017-07-02 02:50:20;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3067;RT @TamaraMcCleary: Doubling down on #digitaltransformation: #BigData, strategy and the #IoT. https://t.co/PtDu6bWsFe by… ;0;0;20.0;8.813414066982502e+17;8.0;Doubling down on #digitaltransformation: #BigData, strategy and the #IoT. https://t.co/PtDu6bWsFe by… https://t.co/hsKLoEj12y;digitaltransformation;BigData;IoT;;en;bengaluru, india;;;;;;;;;
881739384843665408;2017-07-03 05:00:25;e4fb0e77626f4ffb41f8869833e9ccef;91a3fcbd8f054f6fc25b2bc5b610341f;91;"RT @KirkDBorne: How #BigData reduces costs &amp; improves outcomes in #Healthcare: https://t.co/zmtrnGSbeP #DataScience #ML #healthIT b… ";0;0;18.0;8.81652918264492e+17;11.0;"How #BigData reduces costs &amp; improves outcomes in #Healthcare: https://t.co/zmtrnGSbeP #DataScience #ML #healthIT b… https://t.co/6GzLCDnoDv";BigData;Healthcare;DataScience;ML;en;bengaluru, india;;;;;;;;;
881229428940050432;2017-07-01 19:14:02;68d2aed9c52dfd308dfc9a866c332180;b42a66dd5ef83944bc669fd79837ccef;59;Wetherspoons just deleted its entire customer email database – on purpose https://t.co/gIqPAncjJ8;0;0;;;;;;;;;en;bengaluru, india;;;;;;;;;
881165498444111872;2017-07-01 15:00:00;18897dcfce6a4e7ae63a3baeed443c48;59f9efd4f25725cbca21e2d91d90e649;164;Elasticsearch query to return all records #database #elasticsearch #bigdata #query-string #elasticsearch-dsl https://t.co/yu5oGCP551;0;0;;;;;database;elasticsearch;bigdata;query;en;bengaluru, india;;;;;;;;;
880830438331170816;2017-06-30 16:48:36;824af51502b9bb570a37ad3a56575181;aa2411382c0ff7343d450fa714411678;1200;RT @jgopikrishnan70: Sources : Lodhi Garden morning walking Vakils unhappy https://t.co/EvKbxy8tyW;0;0;27.0;8.80812388865278e+17;44.0;Sources : Lodhi Garden morning walking Vakils unhappy https://t.co/EvKbxy8tyW;;;;;en;bengaluru, india;;;;;;;;;
881570710350696448;2017-07-02 17:50:10;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3082;"RT @ipfconline1: What is the #Blockchain and Why is it So Important?
https://t.co/JLVjwM6WvY  [by @vanrijmenam via @datafloq]… ";0;0;7.0;8.81569455838462e+17;2.0;"What is the #Blockchain and Why is it So Important?
https://t.co/JLVjwM6WvY  [by @vanrijmenam via @datafloq]… https://t.co/lzxpLtoKoo";Blockchain;;;;en;bengaluru, india;;;;;;;;;
